Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,GarageYrBlt_NA
1,60,RL,8450,Pave,cat_NA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,6.75343791859778,GasA,Ex,Y,SBrkr,6.75343791859778,854,0,7.444833273892193,1,0,2,1,3,1,Gd,8,Typ,0,cat_NA,Attchd,2003,RFn,2,6.3080984415095305,TA,TA,Y,0,61,0,0,0,0,cat_NA,cat_NA,cat_NA,0,2,2008,WD,Normal,208500,0
2,20,RL,9600,Pave,cat_NA,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,7.141245122350491,GasA,Ex,Y,SBrkr,7.141245122350491,0,0,7.141245122350491,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,6.133398042996649,TA,TA,Y,298,0,0,0,0,0,cat_NA,cat_NA,cat_NA,0,5,2007,WD,Normal,181500,0
3,60,RL,11250,Pave,cat_NA,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,6.825460036255307,GasA,Ex,Y,SBrkr,6.825460036255307,866,0,7.488293515159428,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,6.411818267709897,TA,TA,Y,0,42,0,0,0,0,cat_NA,cat_NA,cat_NA,0,9,2008,WD,Normal,223500,0
4,70,RL,9550,Pave,cat_NA,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,6.6293632534374485,GasA,Gd,Y,SBrkr,6.8690144506657065,756,0,7.4489161025442,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,6.466144724237619,TA,TA,Y,0,35,272,0,0,0,cat_NA,cat_NA,cat_NA,0,2,2006,WD,Abnorml,140000,0
5,60,RL,14260,Pave,cat_NA,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,7.044032897274685,GasA,Ex,Y,SBrkr,7.044032897274685,1053,0,7.695757990554761,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,6.729824070489475,TA,TA,Y,192,84,0,0,0,0,cat_NA,cat_NA,cat_NA,0,12,2008,WD,Normal,250000,0
6,50,RL,14115,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,6.680854678790215,GasA,Ex,Y,SBrkr,6.680854678790215,566,0,7.217443431696533,1,0,1,1,1,1,TA,5,Typ,0,cat_NA,Attchd,1993,Unf,2,6.175867270105761,TA,TA,Y,40,30,0,320,0,0,cat_NA,MnPrv,Shed,700,10,2009,WD,Normal,143000,0
7,20,RL,10084,Pave,cat_NA,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,7.430707082545968,GasA,Ex,Y,SBrkr,7.43543801981455,0,0,7.43543801981455,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,6.456769655572163,TA,TA,Y,255,57,0,0,0,0,cat_NA,cat_NA,cat_NA,0,8,2007,WD,Normal,307000,0
8,60,RL,10382,Pave,cat_NA,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,7.010311867307229,GasA,Ex,Y,SBrkr,7.010311867307229,983,0,7.645397699428633,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,6.184148890937483,TA,TA,Y,235,204,228,0,0,0,cat_NA,cat_NA,Shed,350,11,2009,WD,Normal,200000,0
9,50,RM,6120,Pave,cat_NA,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,6.859614903654202,GasA,Gd,Y,FuseF,6.930494765951626,752,0,7.4815557019095165,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,6.150602768446279,Fa,TA,Y,90,0,205,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2008,WD,Abnorml,129900,0
10,190,RL,7420,Pave,cat_NA,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,6.899723107284872,GasA,Ex,Y,SBrkr,6.982862751468942,0,0,6.982862751468942,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,5.327876168789581,Gd,TA,Y,0,4,0,0,0,0,cat_NA,cat_NA,cat_NA,0,1,2008,WD,Normal,118000,0
