Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,GarageYrBlt_NA
1461,20,RH,11622,Pave,cat_NA,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270,6.78332520060396,GasA,TA,Y,SBrkr,6.799055862058796,0,0,6.799055862058796,0,0,1,0,2,1,TA,5,Typ,0,cat_NA,Attchd,1961,Unf,1,6.594413459749778,TA,TA,Y,140,0,0,0,120,0,cat_NA,MnPrv,cat_NA,0,6,2010,WD,Normal,,0
1462,20,RL,14267,Pave,cat_NA,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,0,406,7.1929342212158,GasA,TA,Y,SBrkr,7.1929342212158,0,0,7.1929342212158,0,0,1,1,3,1,Gd,6,Typ,0,cat_NA,Attchd,1958,Unf,1,5.746203190540153,TA,TA,Y,393,36,0,0,0,0,cat_NA,cat_NA,Gar2,12500,6,2010,WD,Normal,,0
1463,60,RL,13830,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,0,137,6.834108738813838,GasA,Gd,Y,SBrkr,6.834108738813838,701,0,7.396335293800808,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2,6.180016653652572,TA,TA,Y,212,34,0,0,0,0,cat_NA,MnPrv,cat_NA,0,3,2010,WD,Normal,,0
1464,60,RL,9978,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,0,324,6.831953565565855,GasA,Ex,Y,SBrkr,6.831953565565855,678,0,7.380879035564116,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2,6.154858094016418,TA,TA,Y,360,36,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1465,120,RL,5005,Pave,cat_NA,IR1,HLS,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,0,1017,7.155396301896734,GasA,Ex,Y,SBrkr,7.155396301896734,0,0,7.155396301896734,0,0,2,0,2,1,Gd,5,Typ,0,cat_NA,Attchd,1992,RFn,2,6.2285110035911835,TA,TA,Y,0,82,0,0,144,0,cat_NA,cat_NA,cat_NA,0,1,2010,WD,Normal,,0
1466,60,RL,10000,Pave,cat_NA,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,763,6.638567789166521,GasA,Gd,Y,SBrkr,6.638567789166521,892,0,7.412160334945205,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,Fin,2,6.089044875446846,TA,TA,Y,157,84,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,WD,Normal,,0
1467,20,RL,7980,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,0,233,7.063903961472068,GasA,Ex,Y,SBrkr,7.080026499922591,0,0,7.080026499922591,1,0,2,0,3,1,TA,6,Typ,0,cat_NA,Attchd,1992,Fin,2,6.042632833682381,TA,TA,Y,483,21,0,0,0,0,cat_NA,GdPrv,Shed,500,3,2010,WD,Normal,,0
1468,60,RL,8402,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,789,6.672032945461067,GasA,Gd,Y,SBrkr,6.672032945461067,676,0,7.290292882446597,0,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998,Fin,2,5.976350909297934,TA,TA,Y,0,75,0,0,0,0,cat_NA,cat_NA,cat_NA,0,5,2010,WD,Normal,,0
1469,20,RL,10176,Pave,cat_NA,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,0,663,7.170888478512505,GasA,Gd,Y,SBrkr,7.201916317531627,0,0,7.201916317531627,1,0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990,Unf,2,6.2285110035911835,TA,TA,Y,192,0,0,0,0,0,cat_NA,cat_NA,cat_NA,0,2,2010,WD,Normal,,0
1470,20,RL,8400,Pave,cat_NA,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,78,0,6.78332520060396,GasA,TA,Y,SBrkr,6.78332520060396,0,0,6.78332520060396,1,0,1,0,2,1,TA,4,Typ,0,cat_NA,Attchd,1970,Fin,2,6.26530121273771,TA,TA,Y,240,0,0,0,0,0,cat_NA,MnPrv,cat_NA,0,4,2010,WD,Normal,,0
